Genotype	Avg_Inbred_seed wieght	Avg_B73outcross_seed wieght	Avg_Mo17outcross_seed wieght	B73_seed wt	Mo17_seed wt	Avg_Inbred_cob g	Avg_B73outcross_cob g	Avg_Mo17outcross_cob g	B73_cob g	Mo17_cob g	Avg_Inbred_cob dia	Avg_B73outcross_cob dia	Avg_Mo17outcross_cob dia	B73_cob dia	Mo17_cob dia	Avg_Inbred_cob len	Avg_B73outcross_cob len	Avg_Mo17outcross_cob len	B73_cob len	Mo17_cob len	Avg_Inbred_ind seed(g)	Avg_B73outcross_ind seed(g)	Avg_Mo17outcross_ind seed(g)	B73_ind seed(g)	Mo17_ind seed(g)	Avg_Inbred_seed#	Avg_B73outcross_seed#	Avg_Mo17outcross_seed#	B73_seed#	Mo17_seed#	Avg_Inbred_hgt	Avg_B73outcross_hgt	Avg_Mo17outcross_hgt	B73_hgt	Mo17_hgt
A679	108.98	125.2	177.3	96.5	72.0	19.15	19.0	23.4	20.3	9.2	2.92	2.4	2.2	2.4	1.6	12.325	13.3	16.9	12.9	14.4	0.17084	0.255233333	0.291833333	0.25052	0.308666667	645.2667394	500.251733	613.0539041	385.9	234.5	204	272.6666667	283.8333333	218.1666667	223.6666667
A680	105.5	115.1	190.7	96.5	72.0	19.8	18.2	24.5	20.3	9.2	2.7	2.4	2.3	2.4	1.6	13.2	13.2	17.6	12.9	14.4	0.2397	0.245233333	0.323968116	0.25052	0.308666667	441.2329654	471.4929264	586.1707624	385.9	234.5	219.3333333	266.5	292.6666667	218.1666667	223.6666667
A682	85.7	191.2	124.3	96.5	72.0	14.4	25.5	14.4	20.3	9.2	1.9	2.3	1.8	2.4	1.6	15.6	17.3	17.5	12.9	14.4	0.30352	0.305656738	0.308966667	0.25052	0.308666667	284.3705545	621.9264476	398.1517836	385.9	234.5	208.6666667	299.5	254.6666667	218.1666667	223.6666667
B103	53.8	147.8	159.9	96.5	72.0	12.7	22.5	19.9	20.3	9.2	2.4	2.6	2.2	2.4	1.6	14.4	15.8	20.4	12.9	14.4	0.25356	0.282633333	0.276570459	0.25052	0.308666667	214.4066164	525.028212	578.3044799	385.9	234.5	162.8333333	268.1666667	286.6666667	218.1666667	223.6666667
B104	89.9	154.4	260.8	96.5	72.0	26.3	30.8	56.3	20.3	9.2	2.5	2.5	2.8	2.4	1.6	13.2	15.1	22.4	12.9	14.4	0.274566667	0.278498611	0.39316859	0.25052	0.308666667	326.1454039	559.0546333	671.4088578	385.9	234.5	188.1666667	264.6666667	262.6666667	218.1666667	223.6666667
B109	113.7	111.2	196.4	96.5	72.0	16.2	18.0	21.7	20.3	9.2	2.2	2.3	2.2	2.4	1.6	14.2	13.4	17.7	12.9	14.4	0.2652	0.24435747	0.330707441	0.25052	0.308666667	429.9260112	445.7908703	593.9470574	385.9	234.5	222.6666667	263	300.1666667	218.1666667	223.6666667
B115	20.1	219.2	212.8	96.5	72.0	15.1	22.4	30.7	20.3	9.2	1.9	2.4	2.2	2.4	1.6	13.8	21.0	20.2	12.9	14.4	0.307196796	0.313519087	0.357342089	0.25052	0.308666667	65.11218104	697.6321556	620.0012672	385.9	234.5	171.6666667	295.3333333	294.8333333	218.1666667	223.6666667
B14A		126.6	216.3	96.5	72.0		22.8	27.5	20.3	9.2		2.2	2.4	2.4	1.6		15.8	19.4	12.9	14.4		0.266053824	0.347133333	0.25052	0.308666667		474.1534806	618.6135316	385.9	234.5	225.5	277.8333333	295.3333333	218.1666667	223.6666667
B37	31.2	131.2	186.1	96.5	72.0	9.4	24.0	31.1	20.3	9.2	1.7	2.5	2.5	2.4	1.6	9.1	14.5	18.1	12.9	14.4	0.270470435	0.252533333	0.320659495	0.25052	0.308666667	116.4986776	511.3564177	573.5475011	385.9	234.5	209.5	264.8333333	288.8333333	218.1666667	223.6666667
B46	74.8	195.0	126.6	96.5	72.0	24.1	34.5	20.7	20.3	9.2	2.3	2.5	2.2	2.4	1.6	14.7	18.0	15.7	12.9	14.4	0.295696667	0.2708	0.310433333	0.25052	0.308666667	254.898163	722.8476456	472.4770033	385.9	234.5	204	279	286.8333333	218.1666667	223.6666667
B52	28.8	187.3	162.1	96.5	72.0	16.7	23.7	21.3	20.3	9.2	2.7	2.3	2.2	2.4	1.6	13.8	16.8	17.3	12.9	14.4	0.214722927	0.28739753	0.3146	0.25052	0.308666667	128.0781253	651.8679143	516.0278481	385.9	234.5	199.3333333	284	290.6666667	218.1666667	223.6666667
